id;peso;fruta_y_verdura;fecha_y_hora_entrada;fecha_y_hora_recogida;fecha_y_hora_preparacion
1;32245;true;2023-01-14T21:22:43;2023-01-14T23:43:06;2023-01-14T16:55:50
2;83138;false;2023-01-15T07:46:37;2023-01-15T04:57:45;2023-01-14T16:14:00
3;9367;true;2023-01-14T11:01:34;2023-01-15T09:20:26;2023-01-14T09:53:12
4;41374;false;2023-01-15T03:33:46;2023-01-15T01:39:52;2023-01-14T22:31:15
5;20719;false;2023-01-14T11:17:49;2023-01-15T04:19:03;2023-01-15T06:23:35
6;31243;true;2023-01-15T09:09:46;2023-01-14T20:05:25;2023-01-14T10:08:23
7;22604;true;2023-01-14T19:07:29;2023-01-14T09:40:43;2023-01-14T22:45:29
8;44447;false;2023-01-14T14:37:50;2023-01-15T01:28:59;2023-01-14T13:15:56
9;47967;true;2023-01-15T04:27:50;2023-01-14T11:07:22;2023-01-14T21:41:29
10;34107;true;2023-01-14T21:04:17;2023-01-14T10:56:29;2023-01-14T10:59:38
